Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,"Location",County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Last Update
53.03000,52.03000,-,88.5,88.5,"Canon City - Fremont Peak",Fremont,38.45420074,-105.29000092,WB0WDF,OPEN,On-Air,Analog/analog,,,,,,2012-07-10
53.09000,52.09000,-,107.2,,"Lakewood - Green Mountain",Jefferson,39.70080185,-105.17800140,W0TX,OPEN,On-Air,Analog/analog,,,,,,2020-07-07
53.13000,52.13000,-,107.2,107.2,"Colorado Springs - Cheyenne Mountain",El Paso,38.74499893,-104.86199951,KC0CVU,OPEN,On-Air,Analog/analog,,,,,,2020-04-23
53.17000,52.17000,-,107.2,CSQ,"Morrison - Mt. Morrison",Jefferson,39.67340088,-105.21800232,N6LXX,OPEN,On-Air,Analog/analog,,,,29883,,2019-03-25
145.11500,144.51500,-,100.0,100.0,"Fort Collins - Horsetooth Mountain",Larimer,40.53969955,-105.19599915,W0UPS,OPEN,On-Air,Analog/analog,,4236,,,Wide area,2016-10-25
145.11500,144.51500,-,88.5,,"Pueblo",Pueblo,38.25210190,-104.66200256,W0PHC,OPEN,On-Air,Analog/analog,,,,,,2019-12-10
145.13000,144.53000,-,88.5,123.0,"Colorado Springs - Cheyenne Mountain",El Paso,38.74520111,-104.86199951,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-05-27
145.14500,144.54500,-,107.2,107.2,"Idaho Springs - Squaw Mountain",Clear Creek,39.67940140,-105.49199677,W0CRA,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-11-11
145.16000,144.56000,-,107.2,107.2,"Colorado Springs - Cheyenne Mountain",El Paso,38.73720169,-104.87999725,W0CRA,OPEN,On-Air,Analog/analog,,347086,3990,,Wide area,2017-11-13
145.16000,144.56000,-,88.5,123.0,"Walden - Peterson Ridge",Jackson,40.64939880,-106.38200378,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2017-01-06
145.17500,144.57500,-,,,"Evergreen - Squaw Mountain",Clear Creek,39.63330078,-105.31700134,N0SZ,OPEN,On-Air,DMR,7,,,,,2019-11-27
145.17500,144.57500,-,107.2,,"Grand Junction - GJT",Mesa,39.11729813,-108.52200317,W0RRZ,OPEN,On-Air,Analog/analog,,,3161,,,2016-05-11
145.19000,144.59000,-,131.8,69.3,"Aurora",Arapahoe,39.62799835,-104.75800323,N0OBA,OPEN,On-Air,Analog/analog,,,,,,2020-08-20
145.19000,144.59000,-,100.0,,"Cortez - Goodman",Montezuma,37.47389984,-108.50499725,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2020-01-17
145.22000,144.62000,-,103.5,103.5,"Golden - Guy Hill",Jefferson,39.77719879,-105.32800293,WT0C,OPEN,On-Air,P25/analog,293,,,,Wide area,2016-12-23
145.22000,144.62000,-,107.2,,"Grand Junction",Mesa,39.06389999,-108.55100250,KE0TY,OPEN,Off-Air,Analog/analog,,,,,,2012-11-12
145.23500,144.63500,-,,,"Colorado Springs - Almagre Mountain",El Paso,38.77199936,-104.99299622,N0SZ,OPEN,On-Air,DMR,7,,,,Wide area,2019-11-27
145.26500,144.66500,-,100.0,,"Colorado Springs - ~2 mi ENE USAFA North Gate",El Paso,38.70000076,-104.90000153,KB0SRJ,OPEN,On-Air,YSF,,,,,,2019-03-07
145.26500,144.66500,s,107.2,,"Craig",Moffat,40.51520157,-107.54599762,WD0HAM,OPEN,Off-Air,Analog/analog,,,,,,2012-11-12
145.26500,144.66500,-,,,"Fort Collins - Horsetooth Mountain",Larimer,40.53879929,-105.17900085,KB0VGD,OPEN,On-Air,DMR,2,,,,Wide area,2019-11-27
145.28000,144.68000,-,100.0,,"Golden - Centennial Cone",Jefferson,39.75249863,-105.35900116,KE0SJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2015-05-22
145.28000,144.68000,-,100.0,100.0,"Pueblo",Pueblo,38.25444720,-104.60914090,WB0SLW,OPEN,On-Air,Analog/analog,,,,,,2020-04-26
145.29500,144.69500,-,107.2,,"Salida - Methodist Mountain",Chaffee,38.45959854,-106.01100159,KC0CVU,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-08-15
145.29500,144.69500,-,100.0,,"Sterling - CO",Logan,40.62559891,-103.20700073,WA0JTB,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-01-17
145.31000,144.71000,-,88.5,123.0,"Boulder - Thorodin Mountain",Gilpin,39.88750076,-105.42600250,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-07-16
145.32500,144.72500,-,100.0,,"Mancos - Caviness Mountain",Montezuma,37.36500000,-108.14700000,KB5ITS,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-07-23
145.32500,144.72500,-,100.0,,"Mancos - Caviness",Montezuma,37.36460114,-108.14800262,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2021-02-11
145.32500,144.72500,-,100.0,,"Maysville",Chaffee,38.50630188,-106.34500122,KD0MRC,OPEN,On-Air,Analog/analog,,,,,,2019-09-04
145.32500,144.72500,-,127.3,,"Silverton - Buffalo Boy",San Juan,37.81190109,-107.66500092,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2018-01-15
145.34000,144.74000,-,103.5,127.3,"Evergreen",Jefferson,39.63330078,-105.31700134,KE4GUQ,OPEN,On-Air,Analog/analog,,,3350,,Wide area,2019-08-15
145.35500,144.75500,-,88.5,123.0,"Grand Junction - Grand Mesa",Mesa,39.06669998,-107.93599701,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2017-01-06
145.35500,144.75500,-,100.0,,"La Veta",Huerfano,37.50500107,-105.00700378,N0JPX,OPEN,On-Air,Analog/analog,,,3974,,,2019-03-17
145.37000,144.77000,-,,,"Golden - Lookout Mountain",Jefferson,39.73070145,-105.23300171,N0SZ,OPEN,On-Air,DMR,7,,,,,2019-11-27
145.37000,144.77000,-,100.0,100.0,"Hesperus",La Plata,37.29999924,-108.02799988,KB0VIU,OPEN,On-Air,Analog/analog,,,,,,2018-01-15
