,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,29.64000,29.54000,,,33.20980072,-87.56919861,KX4I,1,1,
,53.01000,52.01000,123.0,CSQ,32.59680176,-85.23860168,KK4ICE,1,1,
,53.03000,52.03000,203.5,,30.67980003,-88.19889832,W4IAX,1,1,
,53.09000,52.09000,,,33.40179825,-86.95439911,WB4YRJ,1,1,
,53.11000,52.11000,131.8,131.8,33.82189941,-86.91639709,N4UKE,1,1,
,53.13000,52.13000,,,31.30520058,-87.50229645,N4YYX,1,1,
,53.19000,52.19000,114.8,,34.57949829,-85.59049988,W4OZK,1,1,
,53.21000,52.21000,100.0,100.0,34.73040009,-86.58609772,W4XE,1,1,
,53.27000,52.27000,103.5,103.5,34.01430130,-86.00659943,K4JMC,1,1,
,53.31000,52.31000,CSQ,CSQ,34.30830002,-87.00959778,W4CFI,1,1,
,53.33000,52.33000,CSQ,CSQ,34.17480087,-86.84359741,W4CFI,1,1,
,53.35000,52.35000,100.0,,32.36679840,-86.30000305,W4AP,1,1,
,53.41000,52.41000,100.0,100.0,34.17610168,-86.44670105,KD4CIF,1,1,
,53.61000,52.61000,123.0,123.0,32.46664830,-85.05632900,W4CVY,1,1,
,53.63000,52.63000,100.0,100.0,34.35810089,-86.29470062,KC0ONR,1,1,
,53.75000,52.75000,123.0,123.0,31.10269928,-88.24340057,WX4MOB,1,1,
,53.75000,52.75000,100.0,,33.28570175,-86.80999756,N4PHP,1,1,
,144.96000,145.56000,,,33.52069855,-86.80249786,KI4SBB,1,,
,144.98000,145.58000,233.6,,33.18500137,-87.51000214,KF4IZY,1,1,
,145.04000,145.64000,,,33.65219879,-86.61669922,KK4YOE,1,,
,145.11000,144.51000,107.2,107.2,34.26760101,-86.20890045,KI4RYX,1,1,
,145.11000,144.51000,131.8,131.8,33.20980072,-87.56919861,WS4I,1,1,
,145.12000,144.52000,,,33.75709915,-88.10890198,KC4UG,1,,
,145.13000,144.53000,,,31.31520081,-85.85520172,KJ4OTP,1,,
,145.13000,144.53000,103.5,103.5,33.60430145,-86.42160034,K4SCC,1,1,
,145.13000,144.53000,131.8,,34.73120117,-87.70249939,N4QCA,1,1,
,145.14000,144.54000,,,34.35810089,-86.29470062,KI4RYX,1,,
,145.15000,144.55000,100.0,,34.80289841,-86.97170258,N4SEV,1,1,
,145.15000,144.55000,,,33.28070068,-86.94360352,WB4YRJ,1,1,
,145.15000,144.55000,,,31.30520058,-87.50229645,N4YYX,1,1,
,145.16000,144.56000,,,31.07799911,-85.90000153,W4GEN,1,,
,145.16000,144.56000,,,33.43590164,-86.10579681,N4WNL,1,,
,145.17000,144.57000,CSQ,CSQ,34.35810089,-86.29470062,K4WWN,1,1,
,145.18000,144.58000,,,32.79729843,-86.56849670,W4AEC,1,1,
,145.19000,144.59000,103.5,,31.82959938,-86.61779785,K4TNS,1,1,
,145.19000,144.59000,156.7,,33.58620071,-86.28610229,N4BRC,1,1,
,145.21000,144.61000,,,34.60589981,-86.98329926,N4VCN,1,1,
,145.21000,144.61000,103.5,103.5,33.21630096,-87.54660034,W4UAL,1,1,4719
,145.23000,144.63000,123.0,156.7,32.72399902,-85.50800323,KE4COL,1,,
,145.23000,144.63000,203.5,203.5,33.49649811,-86.80950165,WB4TJX,1,1,
,145.23000,144.63000,186.2,186.2,34.74509811,-86.51170349,W4XE,1,1,
,145.25000,144.65000,110.9,,34.26839828,-85.55690002,K4JS,1,1,
,145.26000,144.66000,,,33.94820023,-86.47280121,KD4NJA,1,,
,145.27000,144.67000,146.2,146.2,32.83179855,-85.76200104,KB4MDD,1,1,
,145.27000,144.67000,103.5,,31.03300095,-85.86380005,W4GEN,1,1,
,145.27000,144.67000,107.2,107.2,34.48120117,-87.29340363,N4IDX,1,1,
,145.28000,144.68000,,,33.62089920,-85.87110138,KJ4JGK,1,,
,145.29000,144.69000,100.0,CSQ,34.48759842,-86.60929871,KM4ZGK,1,1,
,145.29000,144.69000,CSQ,CSQ,32.98189926,-86.85060120,N0ZO,1,1,
,145.30000,144.70000,,,33.65980148,-85.83159637,WB4GNA,1,,
,145.31000,144.71000,100.0,100.0,34.17480087,-86.84359741,N4TUN,1,1,
,145.31000,144.71000,,,30.38120079,-87.81680298,KI4SAZ,1,,
,145.31000,144.71000,123.0,CSQ,32.72978000,-86.11464000,KC4EMG,1,1,
,145.31000,144.71000,,,32.54374480,-86.21191270,,1,1,
,145.33000,144.73000,179.9,179.9,33.06570053,-86.05329895,K4YWE,1,1,
,145.33000,144.73000,100.0,100.0,34.73040009,-86.58609772,W4HSV,1,1,
,145.35000,144.75000,118.8,118.8,32.51229858,-85.07140350,KF4AEJ,1,1,
,145.35000,144.75000,91.5,91.5,33.20980072,-87.56919861,KX4I,,1,
,145.36000,144.76000,,,34.49050140,-86.60420227,W4WBC,1,,
,145.37000,144.77000,131.8,131.8,32.84069824,-87.88749695,WS4I,1,1,
,145.37000,144.77000,,,33.43590164,-86.10579681,N4ZDY,,1,
,145.39000,144.79000,103.5,,32.93730164,-87.16470337,NU4A,1,1,
,145.39000,144.79000,100.0,,31.31520081,-85.85520172,KD4BWM,1,1,
,145.39000,144.79000,,,34.73040009,-86.58609772,WA4NPL,1,1,
,145.39000,144.79000,,,30.60519981,-88.18849945,W4IAX,1,1,
,145.40000,144.80000,,,33.15950012,-85.35720062,KJ4JNX,1,,
,145.41000,144.81000,,,33.39049911,-86.66600037,K4DSO,1,,
,145.41000,144.81000,131.8,131.8,34.79980087,-87.67729950,W4ZZK,1,1,
,145.43000,144.83000,123.0,,30.99419975,-87.75879669,KD4HYG,1,1,
,145.43000,144.83000,186.2,186.2,31.22319984,-85.39050293,W4DHN,1,1,
,145.43000,144.83000,,,34.73720169,-86.52950287,KI4PPF,1,,
,145.43000,144.83000,141.3,141.3,33.15119934,-85.37220001,KA4KBX,1,1,
